Order ID,Order Date,Year,MONTH,Day,MonthName,Order Qty,Cost of Sales,Sales,Profit,Channel,Product Name,Manufacturer,Product Sub Category,Product Category,Region,Country
7682,1/29/2017,2017,1,29,Jan,5,26,73,48,Store,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",MP4&MP3,Audio,Asia,Turkmenistan
1472,6/5/2017,2017,6,5,Jun,13,437,20080,19644,Store,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Asia,Turkmenistan
931,12/7/2017,2017,12,7,Dec,12,80,259,180,Reseller,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
680,9/20/2017,2017,9,20,Sep,20,266,432,167,Reseller,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7374,5/25/2019,2019,5,25,May,13,164,8948,8784,Reseller,Adventure Works Laptop15 M1501 Red,Adventure Works,Laptops,Computers,North America,United States
329,1/18/2018,2018,1,18,Jan,12,1483,2748,1266,Reseller,Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,"Proseware, Inc.","Printers, Scanners & Fax",Computers,North America,United States
1501,12/1/2017,2017,12,1,Dec,12,648,933,286,Reseller,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7327,5/10/2018,2018,5,10,May,13,6273,7668,1396,Reseller,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Home Theater System,TV and Video,North America,United States
6983,2/27/2018,2018,2,27,Feb,24,2247,3176,929,Reseller,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7088,2/25/2018,2018,2,25,Feb,24,651,11848,11197,Reseller,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Desktops,Computers,North America,United States
890,2/28/2017,2017,2,28,Feb,72,20077,35643,15567,Reseller,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Desktops,Computers,North America,United States
7109,7/13/2018,2018,7,13,Jul,18,1416,5803,4388,Reseller,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Laptops,Computers,North America,United States
939,3/13/2018,2018,3,13,Mar,10,1173,2550,1378,Reseller,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7338,9/9/2017,2017,9,9,Sep,20,1867,1919,53,Reseller,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
1337,6/26/2017,2017,6,26,Jun,9,828,2610,1783,Reseller,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,North America,United States
7261,12/30/2016,2016,12,30,Dec,18,113,448,335,Reseller,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Bluetooth Headphones,Audio,North America,United States
722,5/19/2017,2017,5,19,May,120,560,568,9,Reseller,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White,"Contoso, Ltd",Cell phones Accessories,Cell phones,North America,United States
7073,7/9/2018,2018,7,9,Jul,18,2,1975,1973,Reseller,SV DVD 7-Inch Player Portable E200 White,Southridge Video,Movie DVD,"Music, Movies and Audio Books",North America,United States
995,8/21/2018,2018,8,21,Aug,18,1542,2036,495,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Bluetooth Headphones,Audio,North America,United States
1259,10/25/2018,2018,10,25,Oct,10,336,1150,815,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Bluetooth Headphones,Audio,North America,United States
374,3/21/2019,2019,3,21,Mar,20,280,432,153,Online,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7101,10/5/2018,2018,10,5,Oct,30,15892,47400,31509,Online,Fabrikam Independent filmmaker 1/2'' 3mm X300 White,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,North America,United States
1147,6/18/2017,2017,6,18,Jun,9,620,2728,2109,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Smart phones & PDAs ,Cell phones,North America,United States
1344,7/31/2017,2017,7,31,Jul,9,617,979,362,Online,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7095,1/15/2018,2018,1,15,Jan,96,16319,21887,5569,Online,WWI Desktop PC1.80 E1800 White,Wide World Importers,Desktops,Computers,North America,United States
1051,5/29/2019,2019,5,29,May,13,432,1716,1285,Online,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7111,6/4/2017,2017,6,4,Jun,9,85,104,19,Online,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Computers Accessories,Computers,North America,United States
7221,4/5/2018,2018,4,5,Apr,26,6564,7955,1392,Online,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Laptops,Computers,North America,United States
552,5/24/2018,2018,5,24,May,13,4207,3978,-230,Online,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Laptops,Computers,North America,United States
7550,11/24/2016,2016,11,24,Nov,30,1511,8700,7190,Online,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,North America,United States
6999,12/16/2017,2017,12,16,Dec,12,909,2200,1292,Online,"Fabrikam Social Videographer 1"" 25mm E400 Blue","Fabrikam, Inc.",Camcorders,Cameras and camcorders ,North America,United States
7003,11/11/2016,2016,11,11,Nov,10,576,1390,815,Online,Contoso Screen 85in E085 Black,"Contoso, Ltd",Projectors & Screens,Computers,North America,United States
7008,7/17/2018,2018,7,17,Jul,18,373,710,338,Online,Contoso Electronic Private Automatic Branch Exchange M90 Black,"Contoso, Ltd",Home & Office Phones,Cell phones,North America,United States
7016,4/10/2018,2018,4,10,Apr,52,4022,13417,9395,Online,SV Car Video TFT6.2W E6281 Silver,Southridge Video,Car Video,TV and Video,North America,United States
1518,3/17/2017,2017,3,17,Mar,10,353,480,128,Online,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Bluetooth Headphones,Audio,North America,United States
61,7/18/2016,2016,7,18,Jul,12,1223,3226,2003,Online,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Desktops,Computers,North America,United States
7057,5/5/2017,2017,5,5,May,26,3278,5432,2154,Online,Contoso DVD Recorder L210 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",North America,United States
1588,10/26/2018,2018,10,26,Oct,10,576,1500,925,Online,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Bluetooth Headphones,Audio,North America,United States
1142,9/12/2018,2018,9,12,Sep,20,1498,3000,1502,Online,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Bluetooth Headphones,Audio,North America,United States
7517,9/9/2016,2016,9,9,Sep,5,465,1500,1035,Online,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",Home Theater System,TV and Video,North America,United States
1707,2/17/2018,2018,2,17,Feb,12,595,1287,693,Online,SV DVD 7-Inch Player Portable E200 White,Southridge Video,Movie DVD,"Music, Movies and Audio Books",North America,United States
6995,4/13/2017,2017,4,13,Apr,4,144,760,617,Store,Contoso Screen 100in E010 Black,"Contoso, Ltd",Projectors & Screens,Computers,Europe,United Kingdom
878,1/6/2018,2018,1,6,Jan,12,209,257,49,Store,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7030,3/10/2017,2017,3,10,Mar,5,13,108,96,Store,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7036,4/17/2017,2017,4,17,Apr,13,1845,4650,2806,Store,SV Car Video LCD7 M7002 Black,Southridge Video,Car Video,TV and Video,North America,United States
6977,12/24/2016,2016,12,24,Dec,20,5201,6200,1000,Reseller,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,France
536,9/30/2018,2018,9,30,Sep,24,2422,4560,2139,Reseller,Contoso Screen 100in E010 Black,"Contoso, Ltd",Projectors & Screens,Computers,Europe,France
347,4/17/2017,2017,4,17,Apr,8,983,1080,98,Reseller,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Recording Pen,Audio,Europe,France
7482,2/8/2019,2019,2,8,Feb,18,788,2777,1990,Reseller,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Recording Pen,Audio,Europe,France
7393,1/25/2017,2017,1,25,Jan,9,2083,6222,4139,Reseller,WWI Projector 720p LCD56 Black,Wide World Importers,Projectors & Screens,Computers,Europe,France
7074,8/18/2018,2018,8,18,Aug,6,1602,1627,26,Reseller,A. Datum Consumer Digital Camera E100 Green,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,Europe,France
7248,1/24/2018,2018,1,24,Jan,9,481,1012,532,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Bluetooth Headphones,Audio,Europe,France
7443,12/19/2017,2017,12,19,Dec,12,3399,3720,322,Store,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Australia
7249,2/17/2019,2019,2,17,Feb,18,933,1068,136,Store,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
543,6/1/2017,2017,6,1,Jun,8,526,691,166,Store,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
7644,11/3/2016,2016,11,3,Nov,5,170,220,51,Store,SV Keyboard E10 Grey,Southridge Video,Computers Accessories,Computers,Europe,Germany
729,7/4/2016,2016,7,4,Jul,12,92,3632,3541,Store,The Phone Company Touch Screen Phones Capacitive M908 Black,The Phone Company,Touch Screen Phones ,Cell phones,Europe,Germany
7104,6/30/2018,2018,6,30,Jun,13,6951,9926,2976,Store,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Televisions,TV and Video,Asia,Australia
6996,9/8/2017,2017,9,8,Sep,10,581,600,20,Store,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7078,11/14/2018,2018,11,14,Nov,20,1155,1520,366,Store,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Computers Accessories,Computers,Europe,United Kingdom
104,8/27/2018,2018,8,27,Aug,18,1380,1368,-12,Store,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Computers Accessories,Computers,Asia,Iran
7647,11/19/2018,2018,11,19,Nov,12,5773,7069,1297,Store,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Home Theater System,TV and Video,Asia,Iran
7082,11/7/2016,2016,11,7,Nov,10,2376,5690,3315,Store,Litware Home Theater System 5.1 Channel M515 Silver,"Litware, Inc.",Home Theater System,TV and Video,North America,United States
7099,8/7/2017,2017,8,7,Aug,9,3402,8010,4609,Store,"Fabrikam Business Videographer 1"" 25mm M600 Blue","Fabrikam, Inc.",Camcorders,Cameras and camcorders ,North America,Canada
1127,5/22/2018,2018,5,22,May,13,671,720,50,Store,Adventure Works CRT17 E105 White,Adventure Works,Monitors,Computers,North America,Canada
126,8/4/2016,2016,8,4,Aug,9,1102,3620,2518,Store,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Home Theater System,TV and Video,North America,United States
1627,11/24/2016,2016,11,24,Nov,10,4164,4090,-74,Store,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Home Theater System,TV and Video,Europe,Germany
7001,7/7/2016,2016,7,7,Jul,12,240,1897,1658,Store,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.","Printers, Scanners & Fax",Computers,Europe,Germany
1761,7/3/2016,2016,7,3,Jul,36,16749,17927,1178,Store,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Desktops,Computers,Europe,United Kingdom
7019,1/22/2017,2017,1,22,Jan,9,3779,6291,2513,Store,Proseware Projector 720p LCD56 White,"Proseware, Inc.",Projectors & Screens,Computers,Europe,United Kingdom
7106,3/15/2017,2017,3,15,Mar,5,382,850,469,Store,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Televisions,TV and Video,Asia,China
7580,7/11/2017,2017,7,11,Jul,9,759,1245,486,Store,Contoso Screen 85in E085 Black,"Contoso, Ltd",Projectors & Screens,Computers,North America,United States
7337,9/8/2016,2016,9,8,Sep,4,185,612,428,Reseller,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Televisions,TV and Video,Asia,China
7160,3/8/2017,2017,3,8,Mar,10,1059,2993,1934,Reseller,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",MP4&MP3,Audio,Asia,China
313,4/1/2019,2019,4,1,Apr,10,2274,5990,3717,Reseller,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Home Theater System,TV and Video,Asia,China
7023,3/5/2018,2018,3,5,Mar,10,103,115,13,Reseller,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Computers Accessories,Computers,Asia,China
7739,8/30/2017,2017,8,30,Aug,9,417,738,322,Reseller,Adventure Works CRT15 E101 White,Adventure Works,Monitors,Computers,Asia,China
7000,2/15/2019,2019,2,15,Feb,20,2699,4960,2262,Reseller,Proseware High-Performance Business-Class Laser Fax X200 White,"Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,China
7002,8/19/2016,2016,8,19,Aug,9,1234,3630,2397,Reseller,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Asia,China
7007,5/21/2018,2018,5,21,May,13,715,1639,924,Reseller,Proseware LCD17W E202 White,"Proseware, Inc.",Monitors,Computers,Asia,China
10,9/10/2018,2018,9,10,Sep,18,1711,1703,-9,Reseller,Adventure Works LCD17 E200 Black,Adventure Works,Monitors,Computers,Asia,China
7055,3/28/2017,2017,3,28,Mar,10,1398,2190,793,Reseller,Contoso DVD Recorder L230 Grey,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Asia,China
1616,6/4/2017,2017,6,4,Jun,9,106,688,583,Store,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7469,11/21/2018,2018,11,21,Nov,20,2624,3400,776,Catalog,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Televisions,TV and Video,North America,United States
7096,3/6/2019,2019,3,6,Mar,10,3026,2990,-36,Catalog,SV Car Video TFT7 M7000 Silver,Southridge Video,Car Video,TV and Video,North America,United States
7089,5/31/2018,2018,5,31,May,39,1859,7480,5622,Catalog,A. Datum Rangefinder Digital Camera X200 Azure,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,North America,United States
7079,4/3/2019,2019,4,3,Apr,13,1869,7668,5800,Catalog,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Home Theater System,TV and Video,North America,United States
7087,1/13/2019,2019,1,13,Jan,6,3320,4867,1548,Catalog,Adventure Works LCD24W X300 White,Adventure Works,Monitors,Computers,North America,United States
7097,12/28/2018,2018,12,28,Dec,12,1522,2214,693,Catalog,A. Datum Consumer Digital Camera M300 Grey,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,North America,United States
133,4/4/2018,2018,4,4,Apr,13,1179,1662,484,Catalog,Contoso 8GB MP3 Player new model M820 White,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
1611,3/30/2017,2017,3,30,Mar,5,53,58,6,Catalog,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Computers Accessories,Computers,North America,United States
539,12/16/2018,2018,12,16,Dec,12,1423,2958,1536,Catalog,Contoso 32GB Video MP3 Player M3200 White,"Contoso, Ltd",MP4&MP3,Audio,North America,United States
7118,3/1/2018,2018,3,1,Mar,24,3681,7661,3981,Catalog,Adventure Works Laptop8.9 E0890 Black,Adventure Works,Laptops,Computers,North America,United States
7122,9/5/2018,2018,9,5,Sep,10,5558,16000,10443,Catalog,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,North America,United States
6993,8/22/2016,2016,8,22,Aug,18,229,477,249,Catalog,Contoso KSU-less key system M38 White,"Contoso, Ltd",Home & Office Phones,Cell phones,North America,United States
6994,6/20/2017,2017,6,20,Jun,9,164,792,629,Catalog,Adventure Works CRT15 E101 White,Adventure Works,Monitors,Computers,North America,United States
7004,10/14/2016,2016,10,14,Oct,40,975,1440,466,Catalog,Contoso 4 Handset Cordless Phone System M86 White,"Contoso, Ltd",Home & Office Phones,Cell phones,North America,United States
7423,8/4/2018,2018,8,4,Aug,18,121,306,186,Catalog,Contoso 3 Handset Cordless Phone System  E30 Black,"Contoso, Ltd",Home & Office Phones,Cell phones,North America,United States
941,8/1/2017,2017,8,1,Aug,18,122,743,622,Catalog,SV Keyboard E90 Black,Southridge Video,Computers Accessories,Computers,North America,United States
7048,2/25/2018,2018,2,25,Feb,24,2480,4569,2089,Catalog,A. Datum SLR-like Digital Camera M400 Silver,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,North America,United States
930,9/29/2017,2017,9,29,Sep,10,646,690,45,Catalog,Proseware CRT19 E201 White,"Proseware, Inc.",Monitors,Computers,North America,United States
7062,8/7/2018,2018,8,7,Aug,36,444,497,54,Catalog,Contoso DVD 58 DVD Storage Binder M55 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",North America,United States
510,3/29/2019,2019,3,29,Mar,40,4198,5160,963,Catalog,WWI LCD17W E200 White,Wide World Importers,Monitors,Computers,North America,United States
7561,10/17/2016,2016,10,17,Oct,5,59,850,792,Store,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Televisions,TV and Video,Europe,France
78,4/12/2018,2018,4,12,Apr,8,874,5173,4299,Store,WWI Projector 720p LCD56 Black,Wide World Importers,Projectors & Screens,Computers,Europe,France
